repository	links	articles	type	ratio
Biblioteca Digital de la Comunidad Madrid	0	0	REG	0.000000
Ruidera. UCLM	0	0	UNI	0.000000
Biblioteca Virtual de La Rioja	1	1	REG	1.000000
Biblioteca Virtual del Patrimonio Bibliográfico	5	5	ES	1.000000
Documentos y Archivos de Aragón	0	0	REG	0.000000
Biblioteca Digital Mundial de Unesco	3	3	TEST	1.000000
Biblioteca Virtual de Aragón	0	0	REG	0.000000
Archivo de la imagen de Castilla-La Mancha	0	0	REG	0.000000
Universidad Internacional de Andalucía. Fondo Histórico Digital de La Rábida	0	0	UNI	0.000000
Biblioteca Digital Complutense	3	3	UNI	1.000000
BiValdi. Biblioteca Digital Valenciana	13	13	REG	1.000000
Memoria Digital Catalunya	186	98	REG	1.897959
CEU Repositorio Institucional	0	0	UNI	0.000000
Biblioteca Virtual de Derecho Aragonés	174	64	INS	2.718750
Fondo antiguo Universidad Sevilla	2	2	UNI	1.000000
Biblioteca Digital Ateneo Madrid	4	4	INS	1.000000
The European Library	3	3	EU	1.000000
Almirall, portal del pensamiento del Segle XIX	1	1	INS	1.000000
Archivo Ateneo Madrid	0	0	INS	0.000000
Europeana	2	2	EU	1.000000
Iuris Digital. Biblioteca Digital de la Real Academia de Jurisprudencia y Legislación	0	0	INS	0.000000
ANC. Arxiu Nacional Catalunya	31	29	REG	1.068966
Memoria de Madrid	0	0	LOC	0.000000
Biblioteca Digital Leonesa	8	8	LOC	1.000000
Memoria de Chile	9	6	TEST	1.500000
Fondo Antiguo Universidad de Granada	11	11	UNI	1.000000
Biblioteca Virtual Diputación de Zaragoza	0	0	LOC	0.000000
DUGi Fons Especials	4	4	UNI	1.000000
Recolector Hispana	0	0	ES	0.000000
Biblioteca Dixital de Galicia (Cidade de Cultura Galega)	0	0	REG	0.000000
Fondo Antiguo Universidad Zaragoza	0	0	UNI	0.000000
Google Books	1131	638	TEST	1.772727
Universidad Santigo Compostela	0	0	UNI	0.000000
Biblioteca Digital de Castilla-La Mancha	0	0	REG	0.000000
Helvia Difusión. Repositorio Universidad de Huelva	1	1	UNI	1.000000
Memoria Digital Vasca	1	1	REG	1.000000
Pares. Portal Archivos	4	4	ES	1.000000
Biblioteca Digital Hispánica y Hemeroteca Histórica BNE	18	16	ES	1.125000
Fondo Histórico Cortes de Aragón	31	30	REG	1.033333
Disposit Digital UAB	147	135	UNI	1.088889
Biblioteca Virtual Miguel de Cervantes	786	573	INS	1.371728
Rodin. Universidad de Cádiz. Patrimonio bibliográfico	0	0	UNI	0.000000
Repositorio de la Alhambra	0	0	INS	0.000000
ARCA. Arxiu de Revistes Catalanes Antigues	95	38	REG	2.500000
Proyecto Carmesí Región de Murcia	0	0	REG	0.000000
Biblioteca Digital de Castilla y León	11	4	REG	2.750000
CERES. Red Digital de Colecciones de Museos de España	7	5	ES	1.400000
Repositorio de la Real Academia de Córdoba de Ciencias, Bellas Letras y Nobles Artes	0	0	INS	0.000000
Biblioteca Digital Universidad de Oviedo	0	0	UNI	0.000000
Colecciones digitales Univ. Barcelona	0	0	UNI	0.000000
Flons So Torres. Universitat Lérida	6	6	UNI	1.000000
Fondo Antiguo Universidad de Alcalá	0	0	UNI	0.000000
Portal Teatro Siglo de Oro	0	0	INS	0.000000
Biblioteca Digital de la Región de Murcia	0	0	REG	0.000000
Somni. Fondo Histórico Universidad de Valencia	2	2	UNI	1.000000
Biblioteca Digital de Castellón	9	9	UNI	1.000000
Gredos. Colecciones patrimoniales Universidad Salamanca	2	2	UNI	1.000000
Biblioteca Virtual de Asturias	1	1	REG	1.000000
Repositori Obert UdL. Fons Especials	0	0	UNI	0.000000
Biblioteca Virtual de la Real Academia Nacional de Farmacia	0	0	INS	0.000000
Biblioteca Digital Vasca	0	0	REG	0.000000
Biblioteca Digital Jardín Botánico	35	21	INS	1.666667
Fondo fotográfico siglo XX Universidad de Navarra	0	0	UNI	0.000000
Memoria Digital de Canarias	4	4	REG	1.000000
Hemeroteca La Vanguardia	2217	942	TEST	2.353503
LOC	276	206	TEST	1.339806
Biblioteca Digital Fundación Sierra de Pambley	0	0	INS	0.000000
Fototeca Patrimonio Histórico	0	0	ES	0.000000
Biblioteca Digital Real Academia Historia	0	0	INS	0.000000
Galiciana. Biblioteca Digital de Galicia	0	0	REG	0.000000
Archivo ABC	160	137	TEST	1.167883
Biblioteca Virtual Larramendi	3	3	INS	1.000000
Digitum. Fondo Antiguo Universidad de Murcia	4	4	UNI	1.000000
UvaDoc. Universidad de Valladolid	0	0	UNI	0.000000
Repositorio Universidad Coruña	1	1	UNI	1.000000
Cartoteca Digital i Col·leccions d'imatges del Institut Cartografic de Catalunya	10	8	INS	1.250000
BINADI. Biblioteca Digital de Navarra	1	1	REG	1.000000
Biblioteca Digital de Bizkaia	1	1	LOC	1.000000
Biblioteca Saavadra Fajardo de Pensamiento Político Hispánico	12	7	INS	1.714286
Biblioteca Digital Ayuntamiento Murcia	0	0	LOC	0.000000
Biblioteca Virtual de Prensa Histórica	24	22	ES	1.090909
Portal Europeo de Archivos	0	0	EU	0.000000
Biblioteca Digital UIMP	0	0	UNI	0.000000
Arias Montano: Repositorio Institucional de la Universidad de Huelva	0	0	UNI	0.000000
RIUMA. Universidad de Málaga. Patrimonio	0	0	UNI	0.000000
Jable. Archivo de prensa digital. ULPG	0	0	UNI	0.000000
Biblioteca Virtual de Andalucía	2	2	REG	1.000000
