repository	link	type
Biblioteca Virtual de La Rioja	http://bibliotecavirtual.larioja.org/i18n/consulta/registro.cmd?id=369	REG
Biblioteca Virtual del Patrimonio Bibliográfico	http://bvpb.mcu.es/es/catalogo_imagenes/grupo.cmd?path=11000173	ES
Biblioteca Virtual del Patrimonio Bibliográfico	http://bvpb.mcu.es/es/catalogo_imagenes/grupo.cmd?posicion=2&path=11000173&presentacion=pagina	ES
Biblioteca Virtual del Patrimonio Bibliográfico	http://bvpb.mcu.es/es/catalogo_imagenes/grupo.cmd?posicion=2&path=11000173&presentacion=pagina	ES
Biblioteca Virtual del Patrimonio Bibliográfico	http://bvpb.mcu.es/es/catalogo_imagenes/grupo.cmd?posicion=2&path=11000173&presentacion=pagina	ES
Biblioteca Virtual del Patrimonio Bibliográfico	http://bvpb.mcu.es/es/catalogo_imagenes/grupo.cmd?posicion=2&path=11000173&presentacion=pagina	ES
Biblioteca Digital Mundial de Unesco	http://www.wdl.org/es/item/2657/	TEST
Biblioteca Digital Mundial de Unesco	http://www.wdl.org/en/item/4174/	TEST
Biblioteca Digital Mundial de Unesco	http://www.wdl.org/es/item/3082/zoom/#group=1&page=14	TEST
Biblioteca Digital Complutense	http://alfama.sim.ucm.es/dioscorides/consulta_libro.asp?ref=x533694468	UNI
Biblioteca Digital Complutense	http://alfama.sim.ucm.es/dioscorides/consulta_libro.asp?ref=B20085102&idioma=0	UNI
Biblioteca Digital Complutense	http://alfama.sim.ucm.es/dioscorides/consulta_libro.asp?ref=X532312863&idioma=0	UNI
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/default.php	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/valenciano/default.php	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/pages/ficha.htm?id=244	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/default.php	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/va/consulta/busqueda_referencia.cmd?ordenDesc=N&campo=idautor&idValor=2648&id=840&campoOrden=fechainicial&forma=ficha&posicion=5&accion_ir=Anar	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/catalogo_imagenes/imagen.cmd?path=1000386&posicion=17	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/en/catalogo_imagenes/grupo.cmd?responsabilidad_civil=on&aceptar=Accept&path=1000504&presentacion=pagina&posicion=64&forma=	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/es/catalogo_imagenes/grupo.cmd?path=1001375&responsabilidad_civil=on	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/catalogo_imagenes/grupo.cmd?	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/es/corpus/unidad.cmd?idCorpus=20000&idUnidad=20000	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/es/corpus/unidad.cmd?idCorpus=20000&idUnidad=56485&posicion=1	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/es/consulta/indice_campo.cmd?campo=idautor&posicion=1&letra=E	REG
BiValdi. Biblioteca Digital Valenciana	http://bv2.gva.es/es/consulta/busqueda_referencia.cmd?campo=idautor&idValor=24328	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/results.php?CISOOP1=any&CISOFIELD1=CISOSEARCHALL&CISOROOT=/bcsalvany&CISOBOX1=puig&CISOSORT=subjec%7Cf	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=7450&CISOSHOW=4955	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=33913&CISOSHOW=33877	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/bcsalvany&CISOPTR=4292&REC=3	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=46705&CISOSHOW=45146	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=46705&CISOSHOW=45146	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=65782&CISOSHOW=65468	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/results.php?CISOOP1=any&CISOFIELD1=CISOSEARCHALL&CISOROOT=/bcsalvany&CISOBOX1=Oix	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=9908&REC=1&CISOSHOW=9834	REG
